timestamp,seed,gen_time,stage_time,copy_time
2025-05-09 22:14:18,5849,389,36,82
2025-05-09 22:14:19,5849,390,37,82
2025-05-09 22:14:20,5849,411,37,82
2025-05-09 22:14:21,5849,397,36,82
2025-05-09 22:14:22,5849,403,37,82
2025-05-09 22:14:23,5849,401,37,82
2025-05-09 22:14:24,5849,412,37,82
2025-05-09 22:14:25,5849,403,36,82
2025-05-09 22:14:26,5849,398,40,82
2025-05-09 22:14:27,5849,405,35,82
2025-05-09 22:14:28,5849,414,34,82
2025-05-09 22:14:29,5849,404,35,82
2025-05-09 22:14:30,5849,392,37,82
2025-05-09 22:14:31,5849,389,38,82
2025-05-09 22:14:32,5849,416,35,82
2025-05-09 22:14:33,5849,403,38,82
2025-05-09 22:14:34,5849,390,36,82
2025-05-09 22:14:35,5849,390,35,82
2025-05-09 22:14:36,5849,421,35,82
2025-05-09 22:14:37,5849,396,35,82
2025-05-09 22:14:38,5849,391,35,82
2025-05-09 22:14:39,5849,389,38,82
2025-05-09 22:14:40,5849,427,40,82
2025-05-09 22:14:41,5849,405,37,82
2025-05-09 22:14:42,5849,397,38,82
2025-05-09 22:14:43,5849,397,35,82
2025-05-09 22:14:44,5849,409,38,82
2025-05-09 22:14:45,5849,395,39,82
2025-05-09 22:14:46,5849,405,37,82
2025-05-09 22:14:47,5849,392,35,82
2025-05-09 22:14:48,5849,411,35,82
2025-05-09 22:14:49,5849,399,36,82
2025-05-09 22:14:50,5849,395,40,82
2025-05-09 22:14:51,5849,393,36,82
2025-05-09 22:14:52,5849,409,35,82
2025-05-09 22:14:53,5849,416,38,82
2025-05-09 22:14:54,5849,412,37,82
2025-05-09 22:14:55,5849,403,37,82
2025-05-09 22:14:56,5849,418,36,82
2025-05-09 22:14:57,5849,397,36,82
2025-05-09 22:14:58,5849,389,37,82
2025-05-09 22:14:59,5849,398,39,82
2025-05-09 22:15:00,5849,418,37,82
2025-05-09 22:15:01,5849,402,37,82
2025-05-09 22:15:02,5849,387,37,82
2025-05-09 22:15:03,5849,392,38,82
2025-05-09 22:15:04,5849,421,37,82
2025-05-09 22:15:05,5849,395,36,82
2025-05-09 22:15:06,5849,389,37,82
2025-05-09 22:15:07,5849,394,36,82
2025-05-09 22:15:08,5849,407,36,82
2025-05-09 22:15:09,5849,412,36,82
2025-05-09 22:15:10,5849,393,35,82
2025-05-09 22:15:11,5849,392,37,82
2025-05-09 22:16:03,2324,488,43,82
2025-05-09 22:16:04,2324,507,38,82
2025-05-09 22:16:05,2324,423,39,82
2025-05-09 22:16:06,2324,419,40,82
2025-05-09 22:16:07,2324,418,43,82
2025-05-09 22:16:08,2324,424,39,82
2025-05-09 22:16:09,2324,411,39,82
2025-05-09 22:16:10,2324,406,41,82
2025-05-09 22:16:11,2324,415,39,82
2025-05-09 22:16:12,2324,429,42,82
2025-05-09 22:16:13,2324,407,39,82
2025-05-09 22:16:14,2324,406,45,82
2025-05-09 22:16:15,2324,418,42,82
2025-05-09 22:16:16,2324,434,41,82
2025-05-09 22:16:17,2324,420,46,82
2025-05-09 22:16:18,2324,434,41,82
2025-05-09 22:16:19,2324,426,39,82
2025-05-09 22:16:20,2324,438,39,82
2025-05-09 22:16:21,2324,428,41,82
2025-05-09 22:16:22,2324,410,39,82
2025-05-09 22:16:23,2324,430,40,82
2025-05-09 22:16:24,2324,434,39,82
2025-05-09 22:16:25,2324,418,41,82
2025-05-09 22:16:26,2324,407,39,82
2025-05-09 22:16:27,2324,429,39,82
2025-05-09 22:16:28,2324,427,41,82
2025-05-09 22:16:29,2324,408,38,82
2025-05-09 22:16:30,2324,419,39,82
2025-05-09 22:16:31,2324,423,39,82
2025-05-09 22:16:32,2324,427,39,82
2025-05-09 22:16:33,2324,412,43,82
2025-05-09 22:16:34,2324,407,40,82
2025-05-09 22:16:35,2324,439,40,82
2025-05-09 22:16:36,2324,445,38,82
2025-05-09 22:16:37,2324,413,41,82
2025-05-09 22:16:38,2324,411,47,82
2025-05-09 22:16:39,2324,427,42,82
2025-05-09 22:16:40,2324,448,40,82
2025-05-09 22:16:41,2324,415,38,82
2025-05-09 22:16:42,2324,407,39,82
2025-05-09 22:16:43,2324,429,39,82
2025-05-09 22:16:44,2324,444,43,82
2025-05-09 22:16:45,2324,419,43,82
2025-05-09 22:16:46,2324,411,39,82
2025-05-09 22:16:47,2324,425,41,82
2025-05-09 22:16:48,2324,435,39,82
2025-05-09 22:16:49,2324,423,39,82
2025-05-09 22:16:50,2324,409,39,82
2025-05-09 22:16:51,2324,427,39,82
2025-05-09 22:16:52,2324,432,40,82
2025-05-09 22:16:53,2324,411,43,82
2025-05-09 22:16:54,2324,423,41,82
2025-05-09 22:16:55,2324,440,39,82
2025-05-09 22:16:56,2324,433,39,82
2025-05-09 22:16:57,2324,416,41,82
2025-05-09 22:16:58,2324,410,42,82
2025-05-09 22:16:59,2324,438,38,82
2025-05-09 22:17:00,2324,437,40,82
2025-05-09 22:17:01,2324,419,39,82
2025-05-09 22:17:02,2324,404,56,82
2025-05-09 22:17:03,2324,499,39,83
2025-05-09 22:17:04,2324,466,40,82
2025-05-09 22:17:05,2324,432,41,82
2025-05-09 22:17:06,2324,419,40,82
2025-05-09 22:17:07,2324,433,38,82
2025-05-09 22:17:08,2324,448,40,82
2025-05-09 22:17:09,2324,429,40,82
2025-05-09 22:17:10,2324,414,40,82
2025-05-09 22:17:11,2324,433,41,82
2025-05-09 22:17:12,2324,436,40,82
2025-05-09 22:17:13,2324,425,43,82
2025-05-09 22:17:14,2324,415,40,82
2025-05-09 22:17:15,2324,437,38,82
2025-05-09 22:17:16,2324,453,40,82
2025-05-09 22:17:17,2324,414,46,82
2025-05-09 22:17:18,2324,428,39,82
2025-05-09 22:17:19,2324,440,39,82
2025-05-09 22:17:20,2324,436,39,82
2025-05-09 22:17:21,2324,421,39,82
2025-05-09 22:17:22,2324,412,44,82
2025-05-09 22:17:23,2324,429,39,82
2025-05-09 22:17:24,2324,450,46,82
2025-05-09 22:17:25,2324,413,41,82
2025-05-09 22:17:26,2324,416,41,82
2025-05-09 22:17:27,2324,434,39,82
2025-05-09 22:17:28,2324,444,44,82
2025-05-09 22:17:29,2324,433,40,82
2025-05-09 22:17:30,2324,409,40,82
2025-05-09 22:17:31,2324,431,42,82
2025-05-09 22:17:32,2324,435,40,82
2025-05-09 22:17:33,2324,418,39,82
2025-05-09 22:17:34,2324,409,41,82
2025-05-09 22:17:35,2324,434,42,82
2025-05-09 22:17:36,2324,438,41,82
2025-05-09 22:17:37,2324,411,38,82
2025-05-09 22:17:38,2324,417,38,82
2025-05-09 22:17:39,2324,431,40,82
2025-05-09 22:17:40,2324,434,40,82
2025-05-09 22:17:41,2324,419,41,82
2025-05-09 22:17:42,2324,423,40,82
2025-05-09 22:17:43,2324,451,40,82
2025-05-09 22:18:31,687,388,38,82
2025-05-09 22:18:32,687,455,45,82
2025-05-09 22:18:33,687,454,41,82
2025-05-09 22:18:34,687,442,40,82
2025-05-09 22:18:35,687,423,34,82
2025-05-09 22:18:35,687,370,32,82
2025-05-09 22:18:36,687,387,35,82
2025-05-09 22:18:37,687,393,34,82
2025-05-09 22:18:38,687,381,34,82
2025-05-09 22:18:39,687,385,33,82
2025-05-09 22:18:40,687,386,34,82
2025-05-09 22:18:42,687,382,39,82
2025-05-09 22:18:43,687,420,41,82
2025-05-09 22:18:44,687,427,39,82
2025-05-09 22:18:45,687,431,39,82
2025-05-09 22:18:46,687,438,34,82
2025-05-09 22:18:47,687,406,34,82
2025-05-09 22:18:48,687,381,34,82
2025-05-09 22:18:49,687,390,33,82
2025-05-09 22:18:50,687,388,33,82
2025-05-09 22:18:51,687,380,32,82
2025-05-09 22:18:52,687,390,33,82
2025-05-09 22:18:53,687,405,34,82
2025-05-09 22:18:54,687,397,37,82
2025-05-09 22:18:55,687,428,37,82
2025-05-09 22:18:56,687,432,38,82
2025-05-09 22:18:57,687,440,33,82
2025-05-09 22:18:58,687,390,35,82
2025-05-09 22:18:59,687,390,33,82
2025-05-09 22:19:00,687,378,34,82
2025-05-09 22:19:01,687,380,37,82
2025-05-09 22:19:02,687,394,33,82
2025-05-09 22:19:03,687,382,32,82
2025-05-09 22:19:04,687,379,34,82
2025-05-09 22:19:05,687,408,36,82
2025-05-09 22:19:06,687,421,41,82
2025-05-09 22:19:07,687,448,38,82
2025-05-09 22:19:08,687,436,34,82
2025-05-09 22:19:09,687,389,33,82
2025-05-09 22:19:10,687,383,32,82
2025-05-09 22:19:11,687,392,34,82
2025-05-09 22:19:12,687,377,32,82
2025-05-09 22:19:13,687,390,35,82
2025-05-09 22:19:14,687,387,35,82
2025-05-09 22:19:15,687,386,33,82
2025-05-09 22:19:16,687,411,38,82
2025-05-09 22:19:17,687,435,39,82
2025-05-09 22:19:18,687,425,37,82
2025-05-09 22:19:19,687,429,33,82
2025-05-09 22:19:20,687,398,39,82
2025-05-09 22:19:21,687,419,34,82
2025-05-09 22:19:22,687,383,34,82
2025-05-09 22:19:23,687,383,33,82
2025-05-09 22:19:24,687,378,34,82
2025-05-09 22:19:25,687,382,35,82
2025-05-09 22:19:26,687,383,34,82
2025-05-09 22:19:27,687,408,37,82
2025-05-09 22:19:28,687,424,37,82
2025-05-09 22:19:29,687,431,37,82
2025-05-09 22:19:30,687,408,34,82
2025-05-09 22:19:31,687,392,33,82
2025-05-09 22:19:32,687,381,32,82
2025-05-09 22:19:33,687,390,33,82
2025-05-09 22:19:34,687,380,32,82
2025-05-09 22:19:35,687,399,33,82
2025-05-09 22:19:36,687,384,33,82
2025-05-09 22:19:37,687,385,33,82
2025-05-09 22:19:38,687,415,38,82
2025-05-09 22:19:39,687,431,40,82
2025-05-09 22:19:40,687,435,37,82
2025-05-09 22:19:41,687,419,34,82
2025-05-09 22:19:42,687,383,33,82
2025-05-09 22:19:43,687,388,32,82
2025-05-09 22:19:44,687,381,33,82
2025-05-09 22:19:45,687,394,33,82
2025-05-09 22:19:46,687,387,34,82
2025-05-09 22:19:47,687,393,33,82
2025-05-09 22:19:48,687,385,33,82
2025-05-09 22:19:49,687,425,39,82
2025-05-09 22:19:50,687,430,36,82
2025-05-09 22:19:51,687,442,39,82
2025-05-09 22:19:52,687,420,36,82
2025-05-09 22:19:53,687,396,33,82
2025-05-09 22:19:54,687,397,36,82
2025-05-09 22:19:55,687,398,35,82
2025-05-09 22:19:56,687,381,34,82
2025-05-09 22:19:57,687,392,35,82
2025-05-09 22:19:58,687,385,35,82
2025-05-09 22:19:59,687,400,33,82
2025-05-09 22:20:00,687,416,36,82
2025-05-09 22:20:01,687,432,39,82
2025-05-09 22:20:02,687,424,38,82
2025-05-09 22:20:03,687,394,35,82
2025-05-09 22:20:04,687,386,33,82
2025-05-09 22:20:05,687,393,32,82
2025-05-09 22:20:06,687,382,33,82
2025-05-09 22:20:07,687,391,33,82
2025-05-09 22:20:08,687,386,36,82
2025-05-09 22:20:09,687,396,33,82
2025-05-09 22:20:10,687,383,33,82
2025-05-09 22:20:11,687,418,37,82
2025-05-09 22:21:08,7895,515,53,83
2025-05-09 22:21:09,7895,520,47,82
2025-05-09 22:21:10,7895,468,41,82
2025-05-09 22:21:11,7895,420,43,82
2025-05-09 22:21:12,7895,414,39,82
2025-05-09 22:21:13,7895,426,41,82
2025-05-09 22:21:14,7895,421,39,82
2025-05-09 22:21:14,7895,407,40,82
2025-05-09 22:21:15,7895,441,39,82
2025-05-09 22:21:16,7895,434,40,82
2025-05-09 22:21:17,7895,415,40,82
2025-05-09 22:21:18,7895,420,45,82
2025-05-09 22:21:19,7895,445,48,82
2025-05-09 22:21:20,7895,482,39,82
2025-05-09 22:21:21,7895,420,40,82
2025-05-09 22:21:22,7895,474,44,83
2025-05-09 22:21:23,7895,555,44,83
2025-05-09 22:21:25,7895,471,47,82
2025-05-09 22:21:26,7895,465,43,82
2025-05-09 22:21:26,7895,428,41,82
2025-05-09 22:21:27,7895,436,39,82
2025-05-09 22:21:28,7895,435,39,82
2025-05-09 22:21:29,7895,437,46,82
2025-05-09 22:21:30,7895,458,42,82
2025-05-09 22:21:31,7895,486,42,82
2025-05-09 22:21:32,7895,467,39,82
2025-05-09 22:21:33,7895,490,39,82
2025-05-09 22:21:34,7895,470,41,82
2025-05-09 22:21:35,7895,472,41,82
2025-05-09 22:21:36,7895,460,40,82
2025-05-09 22:21:37,7895,438,40,82
2025-05-09 22:21:38,7895,456,42,82
2025-05-09 22:21:39,7895,485,41,82
2025-05-09 22:21:40,7895,485,39,82
2025-05-09 22:21:41,7895,450,39,84
2025-05-09 22:21:42,7895,419,38,82
2025-05-09 22:21:43,7895,430,41,82
2025-05-09 22:21:44,7895,447,43,82
2025-05-09 22:21:45,7895,421,40,82
2025-05-09 22:21:46,7895,406,40,82
2025-05-09 22:21:47,7895,426,39,82
2025-05-09 22:21:48,7895,435,43,82
2025-05-09 22:21:49,7895,422,39,82
2025-05-09 22:21:50,7895,405,40,82
2025-05-09 22:21:51,7895,420,39,82
2025-05-09 22:21:52,7895,438,40,82
2025-05-09 22:21:53,7895,428,43,82
2025-05-09 22:21:54,7895,426,38,82
2025-05-09 22:21:55,7895,427,40,82
2025-05-09 22:21:56,7895,430,38,82
2025-05-09 22:21:57,7895,414,38,82
2025-05-09 22:21:58,7895,426,41,82
2025-05-09 22:21:59,7895,429,40,82
2025-05-09 22:22:00,7895,432,40,82
2025-05-09 22:22:01,7895,418,39,82
2025-05-09 22:22:02,7895,428,41,82
2025-05-09 22:22:04,7895,462,39,82
2025-05-09 22:22:04,7895,451,38,82
2025-05-09 22:22:05,7895,420,40,82
2025-05-09 22:22:06,7895,409,41,82
2025-05-09 22:22:08,7895,444,46,82
2025-05-09 22:22:08,7895,444,40,82
2025-05-09 22:22:09,7895,416,39,82
2025-05-09 22:22:10,7895,408,40,82
2025-05-09 22:22:11,7895,427,39,82
2025-05-09 22:22:13,7895,434,42,82
2025-05-09 22:22:13,7895,419,39,82
2025-05-09 22:22:14,7895,410,40,82
2025-05-09 22:22:16,7895,431,39,82
2025-05-09 22:22:17,7895,429,39,82
2025-05-09 22:22:18,7895,425,40,82
2025-05-09 22:22:18,7895,409,38,82
2025-05-09 22:22:20,7895,436,39,82
2025-05-09 22:22:21,7895,448,41,82
2025-05-09 22:22:22,7895,416,40,82
2025-05-09 22:22:23,7895,415,41,82
2025-05-09 22:22:24,7895,431,38,82
2025-05-09 22:22:25,7895,440,39,82
2025-05-09 22:22:26,7895,416,38,82
2025-05-09 22:22:27,7895,410,40,82
2025-05-09 22:22:28,7895,444,39,82
2025-05-09 22:22:29,7895,438,39,82
2025-05-09 22:22:30,7895,419,38,82
2025-05-09 22:22:31,7895,412,39,82
2025-05-09 22:22:32,7895,427,42,82
2025-05-09 22:22:33,7895,445,38,82
2025-05-09 22:22:34,7895,426,40,82
2025-05-09 22:22:35,7895,414,42,82
2025-05-09 22:22:36,7895,434,39,82
2025-05-09 22:22:37,7895,433,42,82
2025-05-09 22:22:38,7895,424,38,82
2025-05-09 22:22:39,7895,425,41,82
2025-05-09 22:22:40,7895,440,39,82
2025-05-09 22:22:41,7895,432,38,82
2025-05-09 22:22:42,7895,420,43,82
2025-05-09 22:22:43,7895,417,39,82
2025-05-09 22:22:44,7895,427,39,82
2025-05-09 22:22:45,7895,437,38,82
2025-05-09 22:22:46,7895,413,38,82
2025-05-09 22:22:47,7895,415,40,82
2025-05-09 22:22:48,7895,454,41,82
2025-05-09 22:23:42,4532,470,40,82
2025-05-09 22:23:43,4532,467,40,82
2025-05-09 22:23:44,4532,445,40,82
2025-05-09 22:23:45,4532,460,39,82
