frame_number,frame_time_ms,total_steps,rays_hit,rays_missed,min_steps,max_steps
334,9.9358,168912516,2052073,1634327,4,2001
335,9.7244,159926355,2238576,1447824,5,2001
336,10.2579,146005615,2439369,1247031,3,2001
337,10.0445,129635486,2652371,1034029,4,2001
338,9.8494,109999975,2885275,801125,2,2001
339,10.1269,90762063,3142580,543820,3,2001
340,9.6389,67536541,3447164,239236,3,2001
341,2.6403,40857836,3672728,13672,3,832
342,2.4688,35410035,3666118,20282,3,644
343,2.2202,32402188,3669618,16782,2,607
344,2.2217,32283350,3667518,18882,3,625
345,1.8719,26421883,3685546,854,3,619
346,1.9829,26002265,3685719,681,3,578
347,1.7953,26756062,3685901,499,3,539
348,1.7041,27260080,3685972,428,2,529
349,1.7537,26570336,3685973,427,2,607
350,1.8571,26918943,3685578,822,3,619
351,1.8279,27743613,3685254,1146,3,627
352,1.8793,29114406,3684820,1580,3,637
353,1.9984,30854267,3684497,1903,3,646
354,2.3846,35792931,3684850,1550,4,647
355,7.6336,49700148,3634971,51429,4,1996
356,6.4329,65773198,3302453,383947,4,1586
357,3.5417,78883879,3017910,668490,4,1036
358,3.5524,90367836,2773283,913117,4,723
359,3.4455,102127316,2552411,1133989,4,823
360,3.0431,112948192,2346830,1339570,5,591
361,3.0620,125017870,2153302,1533098,4,528
362,3.2101,139073115,1972485,1713915,4,531
363,3.3033,154358763,1792419,1893981,6,531
364,3.6389,167901253,1608716,2077684,6,536
365,3.5594,179198532,1411360,2275040,7,536
366,4.0665,186635942,1205148,2481252,7,531
367,3.9039,190314389,986503,2699897,8,534
368,4.2807,192682515,749826,2936574,10,532
369,4.1324,195360015,479110,3207290,11,526
370,4.2996,199954379,171592,3514808,13,508
371,2.9101,200672961,0,3686400,109,494
372,2.9242,203787795,0,3686400,104,489
373,3.0814,209708236,0,3686400,99,484
374,3.1326,218378399,0,3686400,105,493
375,3.2854,229403552,0,3686400,113,497
376,3.4609,242104446,0,3686400,124,508
377,3.6461,254827178,0,3686400,138,497
378,3.8371,256532503,0,3686400,143,490
379,3.5710,246012507,0,3686400,133,495
380,3.4538,237789941,0,3686400,123,489
381,3.3959,231988911,0,3686400,113,501
382,3.2421,228270682,0,3686400,105,489
383,3.3972,226386368,0,3686400,96,490
384,3.3890,226237280,0,3686400,88,487
385,5.7240,227815705,134493,3551907,41,692
386,6.3202,217146687,453259,3233141,11,928
387,6.1039,201322541,726535,2959865,10,807
388,6.7891,185574767,971034,2715366,9,763
389,5.1179,173073871,1200318,2486082,7,854
390,7.8100,163466829,1398489,2287911,6,894
391,5.5381,155947833,1590094,2096306,6,939
392,8.9686,149254992,1778317,1908083,5,873
393,6.7339,143960802,1967260,1719140,4,1016
394,6.1976,137699349,2159203,1527197,4,1022
395,6.4600,129681040,2359242,1327158,3,1079
396,7.2565,120181227,2562934,1123466,4,1377
397,9.5859,112701967,2770555,915845,4,2001
398,9.4057,99591160,3015905,670495,3,2001
399,9.1322,82157418,3290711,395689,3,2001
400,9.5692,61719870,3613593,72807,2,2001
401,2.2855,38042323,3680663,5737,2,594
402,2.2694,32666490,3685661,739,2,565
403,2.1632,29710021,3685619,781,2,617
404,2.1167,30617706,3685125,1275,2,586
405,2.1021,29082517,3678694,7706,2,627
406,2.0941,31045756,3671555,14845,2,549
407,1.9687,28510638,3674026,12374,2,525
408,1.8513,25343114,3677821,8579,2,518
409,1.7848,22064063,3685159,1241,2,586
410,1.8726,22234596,3685218,1182,2,680
411,2.0379,24191593,3685142,1258,2,668
412,2.2130,24273549,3684471,1929,2,667
413,2.0044,25077128,3685114,1286,2,682
414,2.0429,28189685,3685368,1032,2,672
415,8.9936,46768122,3542244,144156,1,2001
416,10.0349,66857697,3311891,374509,1,2001
417,9.2955,80041601,3028166,658234,1,2001
418,8.1482,91510656,2787562,898838,1,2001
419,6.3709,101459226,2559893,1126507,1,1117
420,6.9551,111958319,2340736,1345664,1,1007
421,7.1869,122958533,2134522,1551878,1,841
422,3.2175,133807686,1941173,1745227,1,542
423,3.2023,145072002,1759528,1926872,2,546
424,3.5801,158029735,1586826,2099574,2,535
425,4.2427,173913782,1395883,2290517,2,564
426,4.4436,188310209,1183686,2502714,2,540
427,4.1121,198451649,952631,2733769,4,568
428,4.2257,204618639,704571,2981829,4,535
429,4.4130,207089875,425572,3260828,5,573
430,3.1011,206214414,116218,3570182,13,539
431,3.1447,205977720,5661,3680739,24,546
432,3.0088,205216916,0,3686400,107,536
433,3.0537,207664925,0,3686400,102,530
434,3.0897,213036619,0,3686400,99,523
435,3.1694,221415513,0,3686400,97,530
436,3.4025,233007441,0,3686400,104,538
437,3.5527,247733251,0,3686400,115,540
438,3.3201,233830894,0,3686400,110,513
439,3.3493,220661053,0,3686400,105,493
440,3.1285,209940604,0,3686400,99,485
441,3.0050,201586369,0,3686400,93,486
442,2.9529,195739376,0,3686400,86,488
443,2.9713,191500308,0,3686400,78,489
444,3.1114,190542604,13234,3673166,72,491
445,4.2649,193216693,308143,3378257,28,490
446,4.4806,189231183,598221,3088179,16,581
447,4.6834,181195236,853569,2832831,11,603
448,5.1546,168315131,1078818,2607582,8,681
449,5.8070,154860751,1287551,2398849,8,722
450,8.9388,142374682,1482093,2204307,8,895
451,6.7505,131432037,1675469,2010931,5,676
452,8.6749,121804548,1869763,1816637,5,666
453,7.6353,113209625,2059324,1627076,5,727
454,4.9561,105735811,2249428,1436972,3,1052
455,5.6884,98763549,2449885,1236515,4,799
456,4.9235,91075456,2664920,1021480,3,966
457,5.3709,82824623,2898200,788200,2,1069
458,7.3642,71354346,3168826,517574,2,1786
459,7.0120,56623362,3480471,205929,2,1653
460,2.3124,34612673,3683149,3251,3,666
461,2.0772,31607536,3674385,12015,3,658
462,2.1076,30859277,3670322,16078,3,669
463,2.3082,31426620,3659732,26668,3,668
464,1.9346,28393316,3662895,23505,2,678
465,2.0049,28522668,3656397,30003,3,629
466,1.8651,27177195,3658590,27810,2,531
467,1.7178,26850723,3663698,22702,3,524
468,1.8355,27395578,3661650,24750,2,539
469,1.9903,30719201,3650849,35551,2,612
470,2.2390,34667251,3637821,48579,3,679
471,2.1710,33060983,3649584,36816,3,687
472,2.3066,36369652,3648633,37767,3,668
473,2.4398,34949630,3665626,20774,2,669
474,9.2774,41742820,3658392,28008,2,2001
475,9.4535,72021052,3316271,370129,3,2001
476,11.1840,95261019,3025361,661039,3,2001
477,10.0803,115156656,2772448,913952,3,2001
478,10.6069,129390999,2552133,1134267,2,2001
479,9.9862,142646769,2344734,1341666,4,2001
480,10.0735,150553782,2163627,1522773,3,2001
481,8.3471,155921522,1973411,1712989,4,1281
482,3.6853,161636810,1786076,1900324,4,595
483,3.5461,168270785,1598631,2087769,4,586
484,3.7148,176352589,1403290,2283110,7,563
485,3.6126,187254103,1191246,2495154,9,550
486,3.7711,199799076,967727,2718673,11,543
487,3.9375,211713805,716164,2970236,13,542
488,4.5155,221382558,435953,3250447,17,540
489,7.2566,224969583,115105,3571295,39,543
490,3.2547,218218988,0,3686400,93,543
491,3.1257,213013813,0,3686400,102,544
492,3.1503,210225638,0,3686400,101,547
493,3.1208,209990238,0,3686400,91,559
494,3.0433,212181910,0,3686400,92,549
495,3.0960,217639845,0,3686400,89,545
496,3.3131,226262633,0,3686400,88,545
497,3.2457,223827367,0,3686400,86,546
498,3.0482,209351028,0,3686400,82,530
499,2.8369,195517200,0,3686400,80,492
500,2.7656,182527004,0,3686400,76,431
501,2.5143,171318081,0,3686400,72,391
502,2.3969,162523058,0,3686400,68,387
503,2.3244,155830594,0,3686400,63,386
504,3.5340,154385001,122255,3564145,26,567
505,3.5335,150123128,458497,3227903,19,466
506,3.3320,143505716,741734,2944666,13,481
507,3.2896,136566838,977498,2708902,8,464
